Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,1.1641265217556496,-4.753519492065338
6307.871,1.306193268854405,-5.906297487877814
5034.722,1.5024181374386556,-7.29013812598711
3993.056,1.7812732784154384,-9.04232905884545
3144.055,2.1556500015544535,-11.280231914969306
2519.531,2.616250883169567,-13.825540811630018
2000.762,3.2426582501818193,-17.053824904332455
1580.669,4.100367087721571,-21.110816583394
1253.634,5.22076026593617,-25.997214779820588
1000.702,6.645399388031322,-31.764973317846717
790.0281,8.630248538373918,-39.07509116310249
628.811,11.15596891837175,-47.61267989520967
502.2321,14.374536856821047,-57.66456592394044
400.1524,18.567962451121538,-69.80240843301785
315.5048,24.29893674779358,-84.98816490230693
252.0161,31.257817438371106,-101.85179142797756
200.3205,40.22503008652202,-122.1638559950129
158.0056,51.961932922600774,-146.58225278710322
125.558,66.11910689362617,-174.68654686263352
99.734,84.00141747505545,-206.61770854195976
