Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,1.1154659088708858,-4.683704853526836
6307.871,1.2564158269637735,-5.81469364722418
5034.722,1.4467664159985203,-7.187279765679411
3993.056,1.7141917933199962,-8.92106911681798
3144.055,2.073927908453068,-11.131252608079476
2519.531,2.515762899786435,-13.653732577929645
2000.762,3.1200116712124735,-16.863556867771926
1580.669,3.9453781327145485,-20.87583305017247
1253.634,5.023679272758637,-25.724128564423278
1000.702,6.414079239579095,-31.447038694648253
790.0281,8.322985881006987,-38.73282250052886
628.811,10.778865807172574,-47.25688936979981
502.2321,13.893120830394222,-57.243831900118394
400.1524,17.959842874197175,-69.42017484660036
315.5048,23.589529315887308,-84.6044800378667
252.0161,30.374806812345152,-101.62809927113926
200.3205,39.15707147687202,-121.94177973251786
158.0056,50.63275903444522,-146.4960677149655
125.558,64.65817218295577,-175.08459553284007
99.734,82.02275599004702,-207.24259699901458
