Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,1.2014351922796251,-4.751181707173071
6307.871,1.3611977685853653,-5.8689478065567435
5034.722,1.5551457347791786,-7.251351844890159
3993.056,1.8167842375468872,-8.995322941064993
3144.055,2.1711473760730944,-11.216119520469663
2519.531,2.608052064075327,-13.750653877946037
2000.762,3.198351932724038,-16.97859471184027
1580.669,4.002728507695595,-21.030181115774074
1253.634,5.052061367969655,-25.92045824992957
1000.702,6.404789056747453,-31.7057967823691
790.0281,8.271199192326664,-39.09386955806625
628.811,10.650774950099446,-47.73611479649567
502.2321,13.686153377727067,-57.95039037180196
400.1524,17.68061820243303,-70.34443846762882
315.5048,23.196552274090617,-85.84860879230027
252.0161,29.87645310848882,-103.3192783293431
200.3205,38.530495081768485,-124.30086516757186
158.0056,49.99516636865606,-149.76859872910887
125.558,64.09991934859404,-179.33988575723708
99.734,81.48093204460697,-212.79846270509654
