Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,0.9877436120667037,-4.246196767026985
6307.871,1.1400748931566407,-5.264705276773134
5034.722,1.3227280175511358,-6.498015711773921
3993.056,1.5729536421116646,-8.056414926670325
3144.055,1.9129157719853804,-10.051332544017958
2519.531,2.3274531025894087,-12.317843947372465
2000.762,2.8994745021220694,-15.18341088078895
1580.669,3.6532194454250084,-18.80326312189834
1253.634,4.688593984491025,-23.128124262237762
1000.702,5.965294504508913,-28.235729145642217
790.0281,7.753450429690093,-34.740781478841875
628.811,10.009704682134716,-42.284887720193616
502.2321,12.872757427576927,-51.30801383801222
400.1524,16.60433763163367,-61.88964357016234
315.5048,21.662391096212055,-75.35866426436644
252.0161,27.824809876558426,-90.18965060060889
200.3205,35.68904305837931,-108.23098211251808
158.0056,46.12521395985506,-129.8971270749855
125.558,58.63837573298542,-154.4959378062997
99.734,74.0483346164937,-183.11609009245547
