Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,1.0577335151228606,-4.431142412551517
6307.871,1.2073235388281118,-5.49644381319287
5034.722,1.3660111977241935,-6.820417374853944
3993.056,1.6324070339123327,-8.456841011856575
3144.055,1.9885849983736883,-10.5479009005161
2519.531,2.4165551757315087,-12.935632795462512
2000.762,3.0103159217082185,-15.963184629485065
1580.669,3.8235912088078257,-19.74811314965747
1253.634,4.839851327333163,-24.305606746456903
1000.702,6.199369406723423,-29.68441689521264
790.0281,8.03235256974747,-36.56223907580964
628.811,10.427775891222817,-44.49546658980027
502.2321,13.383586931537556,-53.886302310176944
400.1524,17.29683174675204,-65.26740869713838
315.5048,22.597612250296294,-79.49805287684617
252.0161,29.05033843076478,-95.30456732382397
200.3205,37.35987850899325,-114.20324044589121
158.0056,48.203818672329945,-137.11084903885376
125.558,61.41303629131029,-163.46486773276257
99.734,78.40582225829031,-193.21881545551727
