Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,0.7510939001856186,-3.303040033854026
6307.871,0.9259516027548804,-3.9845187742338437
5034.722,1.0705834405539925,-4.871612802998504
3993.056,1.3078273910591363,-6.026621262077326
3144.055,1.579041700455907,-7.495475787030233
2519.531,1.9373855556684896,-9.156177652395957
2000.762,2.396679228704253,-11.226461534691133
1580.669,3.0374247812905035,-13.856454312326887
1253.634,3.7844958874416577,-16.924746153790778
1000.702,4.886905387275049,-20.71797418566948
790.0281,6.273847288740171,-25.348817062261183
628.811,8.203477939442259,-30.60167747959286
502.2321,10.303663916917813,-36.773201967795586
400.1524,13.391494347196806,-44.43194319697965
315.5048,17.24017781239154,-53.35440730441015
252.0161,21.811746667849377,-63.84722601651938
200.3205,27.86569191948264,-75.95535893735534
158.0056,35.22251248702334,-90.59318971894089
125.558,44.426766911253104,-106.24323063416708
99.734,55.74454854121951,-124.79626714506718
