Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,1.1165350594857708,-4.636846111177254
6307.871,1.2354647891976136,-5.782435665168141
5034.722,1.42015918819426,-7.1393990953807185
3993.056,1.6745860449087857,-8.864072271590642
3144.055,2.0326271369665636,-11.071703678732877
2519.531,2.4637671177809026,-13.569517930791736
2000.762,3.062506339164984,-16.765980443263146
1580.669,3.8762316781029464,-20.776133305740696
1253.634,4.9249206520310285,-25.597404001156654
1000.702,6.285836243386325,-31.304873415239935
790.0281,8.160638946448142,-38.59050576298366
628.811,10.551184128722316,-47.10316368558424
502.2321,13.611561169361117,-57.113130986528255
400.1524,17.656985556655478,-69.30221429481236
315.5048,23.082676827659334,-84.48540105598302
252.0161,29.683287202242067,-101.54388734816668
200.3205,38.4932960574659,-121.9000508609512
158.0056,49.66464496829662,-146.7016517282534
125.558,63.57977216949362,-175.35297524660163
99.734,80.72666023913577,-207.41724822082034
